x,y,full_quantum,hybrid_quantum,classical_spline
-1.0,0.01798620996209156,0.14320549046737,-0.0295,0.017979999999999996
-0.91,0.025580788312007684,0.11796616305110547,-0.014373700000000017,0.0257299
-0.9,0.026596993576865856,0.11267347735824966,0.038999000000000006,0.02659900000000001
-0.81,0.037687890508605916,0.10825317547305482,-0.02025789999999994,0.0379111
-0.8,0.039165722796764356,0.0,0.025863999999999998,0.039166000000000006
-0.7100000000000001,0.05520053778293428,0.0,0.06057879999999999,0.05550820000000001
-0.7000000000000001,0.05732417589886873,0.04133986423538423,0.05684499999999998,0.05731699999999998
-0.6100000000000001,0.08017291217281229,0.12789613706050704,0.08083449999999998,0.08058109999999999
-0.6000000000000001,0.08317269649392235,0.171875,0.08915999999999999,0.08316999999999997
-0.5100000000000001,0.11506673204554975,0.2543565718140579,0.11222699999999997,0.11559699999999995
-0.5000000000000001,0.11920292202211753,0.2724311839712921,0.13079,0.11920499999999992
-0.4100000000000001,0.162465062580696,0.3549317716125171,0.1562888,0.16310609999999995
-0.40000000000000013,0.16798161486607543,0.363763960213213,0.18510399999999996,0.1679839999999999
-0.3100000000000001,0.22443598573092644,0.44496971455931694,0.21473109999999998,0.22512859999999996
-0.30000000000000016,0.23147521650098227,0.4542013079296448,0.2536419999999999,0.23147999999999988
-0.21000000000000013,0.30153478399746114,0.5254741162750074,0.28831539999999994,0.30217499999999986
-0.20000000000000018,0.3100255188723874,0.5205728515299276,0.3357739999999999,0.3100259999999998
-0.11000000000000017,0.39174096925348545,0.5958023739043006,0.37560619999999995,0.3921842999999998
-0.1000000000000002,0.40131233988754783,0.6097755094089955,0.4280689999999999,0.4013119999999998
-0.01000000000000019,0.49000133312003435,0.6794629657862156,0.4723678999999999,0.4901311999999998
-2.220446049250313e-16,0.4999999999999998,0.6931585316505886,0.5243499999999999,0.4999999999999998
0.08999999999999979,0.5890404340586649,0.7616286004346213,0.5721606999999999,0.5888191999999998
0.09999999999999964,0.5986876601124517,0.7727664386798899,0.6172099999999998,0.5986869999999996
0.18999999999999967,0.6813537337890253,0.827535167304085,0.6678259999999998,0.6808452999999997
0.19999999999999973,0.6899744811276123,0.8318019783878853,0.7004319999999998,0.6899699999999998
0.28999999999999976,0.7613327148429103,0.8748604799480887,0.7531413999999998,0.7606649999999997
0.2999999999999998,0.7685247834990175,0.8784807998044123,0.77045,0.7685219999999999
0.38999999999999985,0.8263533529809949,0.9114880947522025,0.8242609999999999,0.8256665999999999
0.3999999999999997,0.8320183851339243,0.9125588594030524,0.8263339999999998,0.8320159999999999
0.4899999999999997,0.8765329524347758,0.940230398958149,0.8801638999999999,0.8759170999999999
0.49999999999999956,0.8807970779778823,0.9432117670491607,0.8691099999999996,0.8807999999999998
0.5899999999999995,0.9137258055040832,0.9635698194085367,0.9220281999999996,0.9132269999999998
0.5999999999999996,0.9168273035060774,0.965341786946468,0.9008919999999998,0.9168339999999999
0.6899999999999996,0.9404756340234984,0.9808966322324693,0.9522117999999997,0.9400980999999999
0.6999999999999997,0.9426758241011313,0.9828857782697845,0.9239759999999998,0.942676
0.7899999999999997,0.9593009464285336,0.9912951203476188,0.9733481999999998,0.9590181999999999
0.7999999999999996,0.9608342772032354,0.9919106405064924,0.9403959999999998,0.960832
0.8899999999999996,0.9723475776771769,0.998044963916957,0.9878862999999998,0.9721441
0.8999999999999995,0.973403006423134,0.9982895528102055,0.9520629999999997,0.973409
0.9899999999999994,0.9812934900456453,0.9996337219827071,0.9976362999999997,0.9811589
